N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,0.0032648189520508423,0.008075890240639412,0.009868293154560295,0.019272662271681347,0.032048180380278596,0.04551677916017212,0.04457556325532669,0.04207189197563255,0.03206969643958619,0.040083686509356634,0.05685640898184456,0.056132477994046234,0.05003955821659172,0.06733205611542069,0.051584783081456934,0.0727346178072402,0.07256206675750401,0.0709289190977325,0.08264212923029504,0.06396265710032512,0.06141822365668793,0.0664608005854977,0.08757051115887275,0.08791903008501024,0.07067917723356573,0.07440157599672051,0.0797964143528548,0.07050406942573112,0.06467267169795482,0.06760138362851378,0.07134312899086152,0.08985920190873589,0.06737572593775581,0.06781621613895188,0.07208235963418815,0.059786801666844844,0.047752553592829323,0.05982923582766111,0.048220019645141124,0.07269852803623907,0.05918431124081339,0.04927439687169103,0.06678156303322032,0.05774934246397907,0.055027285774572714,0.0753970555045323,0.05548679193480736,0.058780344670577585,0.054840563989554156
1000,0.0007750946475211727,0.002645108836557731,0.006033534603015674,0.008946029344499253,0.011149193473286974,0.016605133726975165,0.0236591706067844,0.030750017522594784,0.03513631940186989,0.038517747224079246,0.03300665198566249,0.02304991823616614,0.028306639028234125,0.032911761268715804,0.03880429371550712,0.034421107116986135,0.03712989545537841,0.036129909900224105,0.039396659847998686,0.041355257385276394,0.04593176910390643,0.05855501551095239,0.03982287635457316,0.054315218221445374,0.06311797705570894,0.059575346376112774,0.048192941104300044,0.05822805603261027,0.05384859022067251,0.04705846776155713,0.05262301024323598,0.053313982203225044,0.0644377494582377,0.053102495687889016,0.06418221829549164,0.05421973715462504,0.061774261819231145,0.07038266504940684,0.06204792437749975,0.04108008782038956,0.06127621286462859,0.049630614741905534,0.04678811831015394,0.050459405099026994,0.0454755969937991,0.043288170889512166,0.053143854457005084,0.05804157539965523,0.05449951997882064
1500,0.0002947568541706687,0.0027882597459989752,0.0025301990051028564,0.005543908702732923,0.007789637918038488,0.01104025147024615,0.015190830912712845,0.015630284565166838,0.01828315773235919,0.020802346087525285,0.030493338036710477,0.02943003962981642,0.02492647767036741,0.022271209966274567,0.021886566213060454,0.022224731635457618,0.02596982852234744,0.030134893009034668,0.028131446664401046,0.031859795420715875,0.028554868573943782,0.032248821719898596,0.0328450332675128,0.03222014654211376,0.03097733295480499,0.03938600046671267,0.031952295394183323,0.03850217520074179,0.03904876739132046,0.038425979566491714,0.03535317797843141,0.04774016380462497,0.045674493218186146,0.047145679345229376,0.04144806484889747,0.05136214651889977,0.04364840347737697,0.04691575265926668,0.04593927960991668,0.04725761930314757,0.04617624517789137,0.05146754539044432,0.05198416727090268,0.041537568847878244,0.04553579942053365,0.04389219451096487,0.03863421074737184,0.04694410402323497,0.04659434208511762
2000,0.0003544102158022205,0.0013094068986766398,0.0027978894513632255,0.004211620450640018,0.005591616815089907,0.006993777790205619,0.011755253752853788,0.015309427215318284,0.01777722914913156,0.023792726595405593,0.023238109634168926,0.02254339127137427,0.017808568348669975,0.026327879582671042,0.02410838279786488,0.019996194822534494,0.01718025335158688,0.02314863538948872,0.015930589177276102,0.02442016967192294,0.02567091481622562,0.02199080512407966,0.02411645192732513,0.029090027285190886,0.023222070353655422,0.030367271332547772,0.03027152916247422,0.025553514326203706,0.033580043291157005,0.02802763558073351,0.033604827189258515,0.03322968370880568,0.03458410316433493,0.040687712697832314,0.03973759558087109,0.03620626468299742,0.030920711276344725,0.03638544896641319,0.03866452398904737,0.04013351778140658,0.03519382537958717,0.043334424888586014,0.03835117216132533,0.042402737524792726,0.03680601151524879,0.04148836820147097,0.030674745485025693,0.02820399438280078,0.04452336965061501
2500,0.000420970095735282,0.0012901880973206856,0.002272621624801211,0.0028494355286395254,0.004298960307648035,0.007314630372872913,0.009401223535778993,0.011994085900282446,0.014696039680037888,0.018845212469019757,0.017141220066655916,0.015739534722613715,0.021796971420905385,0.02124784237300397,0.014288936682327023,0.018021468146133392,0.01813862008114736,0.01836361935967573,0.017523925237515003,0.015034724852065381,0.017620484990303085,0.0175055937220114,0.01819467509165315,0.021973899641871224,0.019359815583746734,0.024788186508128363,0.024782363364207458,0.023382062273317867,0.027256284257023814,0.020795044582763482,0.028289441635559392,0.027385093952207274,0.028927856292354705,0.031086835484827432,0.02613223591191415,0.03589101022303334,0.030225390610394517,0.031376770835636426,0.030074102491713557,0.03099107841525964,0.038108516197573036,0.030471693005540007,0.036957971638105096,0.030599099803155064,0.028663976251940122,0.03333072223291695,0.03733514793689295,0.03133661056169391,0.031037483472062727
3000,0.0003287214834948763,0.0011181063346404764,0.001879282032377562,0.003264699005365748,0.003034093996566842,0.004595195590902741,0.005189744328484089,0.011642093984794396,0.011850213218523954,0.016416058447108462,0.015650393351851526,0.019349517097888184,0.0166405767948279,0.019085953823647705,0.01631031210652351,0.01557951220678612,0.01852863035746201,0.015182099522803812,0.019410559318749084,0.01326266530231963,0.02303238898920821,0.014292812169087961,0.01705634956567702,0.015375091929981011,0.0158500459895053,0.014810634120559867,0.01916829127196045,0.01746610115622844,0.017762138178676758,0.02081965451508098,0.02494186673496738,0.02012095677193845,0.024066713238734078,0.029320013926224523,0.029030329881143114,0.02748988460773303,0.02300516323507338,0.02840426991408563,0.025221622312428943,0.019929665646734124,0.030784115887133714,0.02191494947951034,0.03244570970503865,0.02647012957229419,0.026585132506807295,0.02630259170753364,0.0348567441287464,0.022031931987857488,0.033578255670824654
3500,0.0002530446767737735,0.0007981899393424271,0.0014189521962805149,0.002680884632278247,0.003120250147047132,0.005255733512624462,0.006781504295146814,0.005609472373119694,0.007072667450190011,0.01367125738293695,0.011738562208420896,0.013530176200612549,0.014552627107190127,0.014925714463704092,0.01743363710335891,0.014828911363614737,0.01201823661101387,0.01778907196330582,0.016384414387375687,0.01638762222885532,0.014309563807121312,0.011705549374481906,0.013152914948784629,0.015809505070372223,0.014519361699918631,0.020221137705239135,0.014613018786653425,0.01642179347897003,0.01781057002519928,0.019644596404420827,0.019423321812961747,0.02194714591598603,0.02320073088630955,0.01762739103590027,0.021650812111500908,0.013057402767853351,0.018907789322856278,0.017357929765212027,0.020293517659021886,0.024707813363685667,0.02330766491596709,0.02621355166289279,0.030841875659416217,0.033160463996008714,0.03211870761003966,0.02249219914965273,0.02522086370528743,0.027560781997192373,0.032530812483240794
4000,0.00013112916890689982,0.0006080774687322536,0.0010301100752080194,0.001987126879660678,0.0026232933112325684,0.003912851067645988,0.004454371564408114,0.005548173248514074,0.008347332037926054,0.009231274009125276,0.013397988069726061,0.016813818009510994,0.015191381625541485,0.016037202851583856,0.015449176576370977,0.009706436848459895,0.014368372314142957,0.017529042381953068,0.01593853296391669,0.015871554314333527,0.010715754735116025,0.011137032729567804,0.01491455315897665,0.012657337885754641,0.011666497227034387,0.011141649077356599,0.013913674923338379,0.012240459107380091,0.015440098912119594,0.01582437738614564,0.012627777904157573,0.01676397791792985,0.019028884840374703,0.015718859873187954,0.015951330011256253,0.019799826158869636,0.021535162539725178,0.023834731647168417,0.016565946080127448,0.020437450289353707,0.023670758596159667,0.020826058428997735,0.02682899779163679,0.0271101407174229,0.02468141964849571,0.028136448466849408,0.029832781623786477,0.021254736403523204,0.02479218840224135
4500,0.00023049790794370302,0.000497948047258698,0.0015590510764589489,0.0019598125029012883,0.0025090200504689114,0.00381681506535061,0.004321307311006727,0.005817430257201388,0.005997656082283081,0.008985998242752362,0.009713810508304008,0.011654503733208324,0.011133033725047585,0.011217712200043818,0.015376625129183308,0.01631396528409452,0.017257814314151118,0.014869667089437773,0.01173187202727423,0.012839884308944755,0.014687535736246904,0.012321729220144384,0.013495506676284434,0.013926511538734363,0.01348961257424087,0.013723424653591396,0.014525517213473732,0.012006041501148996,0.011113905263166147,0.012531870223830174,0.014501966204633156,0.010938436442548433,0.01535050756433846,0.01512748576210617,0.017659802506431746,0.016286873793639026,0.015454842951959735,0.020170246944235356,0.02097457258329353,0.02195674919520511,0.017289507711783277,0.021767513536824646,0.01687596356253675,0.02335295184955677,0.021408149066067767,0.018789161692779235,0.018400734541959802,0.014901160121556654,0.02055738145179895
5000,0.0002866972622695891,0.0006352103054317061,0.0009754685192109691,0.0015918476502861777,0.0022810472921759705,0.0022686029867097237,0.003982077379677869,0.004474185707383133,0.005488712590015004,0.006206096239622547,0.010153998404015074,0.007575504102820766,0.007654551001710604,0.010894121391761586,0.0117373084757403,0.013766364210500344,0.01496322499463893,0.016537996498212828,0.015769096996417733,0.016034132110841804,0.011604516505865983,0.010586784165623931,0.010292678043422338,0.01069693115379972,0.01214091084289986,0.012774381391521136,0.011666759330238901,0.013984394223200398,0.013442901927984334,0.016080396404376196,0.01312909013402556,0.012989473102391048,0.011577301317054393,0.011365348881837233,0.013156353250711857,0.014543957619830317,0.01468084361968337,0.01757630667536245,0.015958492902633264,0.01911558188124554,0.015443230177491241,0.01787623163470102,0.020994666534297567,0.020190790391198966,0.021102232933583452,0.01805073021707505,0.022146015303648084,0.01609879817423936,0.02409253926852704
5500,0.00014497953047673504,0.0005633618965710086,0.0006920564256359966,0.001527181194480069,0.001980115774279365,0.0024812314910844465,0.002981706037082281,0.004320682715470054,0.0047509464157313355,0.0060351781530802945,0.007574936553488308,0.0075902402194945,0.010868375305691614,0.009255313652185664,0.011397797338875538,0.012786366915074098,0.011548993326336883,0.010952337352378565,0.013092090889486714,0.015062443470013988,0.011081876400291601,0.012546370704888208,0.010822807483766116,0.01316193685855187,0.01271840862910256,0.011392621422830653,0.01307945958790014,0.01132864770732221,0.012758069448272655,0.010261411652904326,0.011176348059034613,0.01249481937823609,0.013223537205900695,0.014116210058787795,0.012607047413794363,0.013040398088879386,0.016295739951159058,0.01303953969950512,0.014130981929463708,0.017886789697127033,0.015489936251448653,0.014988054108178774,0.018683152853872117,0.01627620958292569,0.017833233203362053,0.01609425852724514,0.015159705050641056,0.01613392525791869,0.01922841558880314
6000,0.00010585247855304454,0.0003630549821980381,0.000829097241951471,0.0014246150440492115,0.0020331716941851216,0.0023306769417281606,0.002969319279721264,0.004293406733148971,0.0046526153011158256,0.005494585628329295,0.0058836270552071294,0.008563072284370444,0.011553808722567472,0.012824676420669114,0.012444843902017128,0.01146081991849568,0.012375818727335872,0.011171784295614948,0.011640093813860893,0.010704011358715829,0.01439493845243457,0.010139661606250386,0.009376602681515623,0.011457327396433278,0.010055374380221886,0.011698380268535086,0.012705996861041055,0.012999539380301487,0.011495158170294971,0.009700670990152841,0.010280962277378316,0.010048109101960924,0.010371565846361397,0.013076587366130123,0.01309901034117829,0.013761967779322388,0.010472522075614497,0.012888463089653203,0.011938146892104779,0.014224921504692208,0.012480109410739761,0.016443877297223148,0.015556881508333422,0.017879526198856178,0.016373126824138048,0.019006560462335984,0.015894024500458993,0.014115207680422836,0.016370102917852725
6500,0.0002890864132938448,0.00034917747347069255,0.0009296451350133993,0.0015295631586118958,0.0018170398973464531,0.0024224767611123084,0.003165404839077265,0.0037289071001353623,0.0056042995305191825,0.005001635966077791,0.006151652095243463,0.007019026578890964,0.010758730350661843,0.010260630104775756,0.008467860568114287,0.008812923793867252,0.011327629879558737,0.008687106165888633,0.01204348389131936,0.013558497406103015,0.012425256936759293,0.010523447063036595,0.010666710149799016,0.007933057138418687,0.009228984918123675,0.011882008665977618,0.011663088605123979,0.008129120371080255,0.008810091673899524,0.012138728037000742,0.01053795654960306,0.0066548145094999225,0.01272020824835854,0.013762730513341254,0.010538634057270449,0.010482921603948812,0.011821242158480818,0.012537056303884821,0.013742577636737042,0.01387117367232604,0.011313974402133302,0.016359066393786703,0.015531711407947077,0.013767318205906008,0.015286129325019101,0.015080472480886663,0.01553688923144271,0.013237328111677321,0.017230891368371585
7000,0.00019762660850241462,0.0005071613986500069,0.0006449156902893574,0.0009779921028245867,0.0014650882595373216,0.0022670252677269003,0.0026802360752921114,0.0034038486769182945,0.003717861558360064,0.004752656367633396,0.006250364533004127,0.008769280706684136,0.009080067127059449,0.01220819207762945,0.010173730324584452,0.011439938429764882,0.012288687711280104,0.010180045575905997,0.011801957018249322,0.012632077157588783,0.01144314904999719,0.012952161955248533,0.008269469579886935,0.011291677008930603,0.011770386383133082,0.011916313471730517,0.014334019531166666,0.01172707793697454,0.0075077286008936915,0.00906056467629198,0.0106964052285153,0.009249321430738231,0.010486873644261768,0.011758094472682779,0.010764800296088572,0.010648011270310356,0.010869797771962827,0.012344644317226396,0.010105675616281496,0.01245410463852068,0.011759888406201156,0.008231937119391663,0.013527732578059662,0.013269483892539536,0.014113802680308775,0.012349830267923271,0.016541598025578468,0.012716568277531688,0.01632494951002628
7500,0.00011227703774953086,0.0003995141015817554,0.0005726907889061708,0.0010700028475294132,0.0014988096357972942,0.001833356523882804,0.0023079191488673658,0.0038072763924212223,0.004289418519121768,0.0048711899338761185,0.005996145949737899,0.007769404579829424,0.009017369317737292,0.008726389463342095,0.011695816519322992,0.011127130264119206,0.013703049458080818,0.01319246774507556,0.011488892723155016,0.010611909956598388,0.011905726134185673,0.012516355319462793,0.011174028349379984,0.010431246023190266,0.010293794208358588,0.010127653735069056,0.012033587943380131,0.008705181735997351,0.011274426637635351,0.010550522161123713,0.011166976822881475,0.012940173693417831,0.00922101912603739,0.01097861441382231,0.010654002728215628,0.010133088744583307,0.011222020029260085,0.011118991456177276,0.010640002191898168,0.011712082657130973,0.010555675540220731,0.011975848085298989,0.010856375366113807,0.011027323192942,0.014387155883895861,0.013351066306731614,0.014685668326759558,0.015085016110163748,0.01391466449112552
8000,6.079082267219559e-05,0.00037511743402566595,0.0006498832967428155,0.0006474836656416208,0.0015138277332041505,0.002273025789222038,0.0017705947598256405,0.0034541914863140087,0.004242477524241254,0.00366899076269977,0.006543443867913397,0.004464991177712434,0.007201890534828426,0.0080820303341411,0.00852703414082047,0.011747671551203208,0.010796077299268413,0.01009320370011765,0.013699377406609047,0.009822288198748017,0.010930227639749768,0.012965228721046964,0.011515394348642682,0.011652818590273957,0.010134221463129063,0.010509961872347352,0.007109103909923074,0.00922909764004575,0.011251565936973115,0.010933066591996828,0.009845345299786043,0.010483609899552207,0.009721469273203281,0.010941172355011132,0.010365937130343247,0.01001569931436906,0.009907700884513064,0.011841434723263529,0.011049772918931734,0.009662690771189773,0.012257570086183812,0.01186334850658654,0.012002462259177225,0.009344205086766548,0.01199901212264076,0.012179821870167501,0.01023217440339333,0.013714319586195201,0.012102692372131105
8500,0.00010939160430547934,0.00027436797007760177,0.0005581155879790183,0.0009351544718766732,0.0013032751927615398,0.0015469250859079188,0.0020631407005714127,0.0020289258298459667,0.0034597909309337354,0.004926358456773522,0.0042450287674581704,0.00627817674747604,0.0069560880263951855,0.007458612511540886,0.009112957363840721,0.008198947594610716,0.010820929217260853,0.010958869615429722,0.010585103602576293,0.012888967687326251,0.008767522845016513,0.010937128559024033,0.01202438557037938,0.008302490722282398,0.008346836609745225,0.00891141676757164,0.007510267047075432,0.008148056188163773,0.007952328689292444,0.008823606238153476,0.011529281133838876,0.01062766934027382,0.011824310324387133,0.009997649948822065,0.008240293675379533,0.009786755904376518,0.009272213699918487,0.009157751987973087,0.008604829902433223,0.007631298933079377,0.009101368809483002,0.01002859533690979,0.00991217739100041,0.01143819613749711,0.01038771566511612,0.00997418045044305,0.012429675502347094,0.008597797840129973,0.015421916075297833
9000,0.00011860463928679939,0.00038007534783550704,0.0006694557077675667,0.0008075517499337849,0.0009823543758550653,0.0013643097942075881,0.0016565023251453822,0.002739827630834613,0.0033620966858662984,0.00428833273715854,0.003882102305753108,0.006171407880934359,0.007577521598287799,0.006294240319615426,0.007599692667885541,0.008000645356299105,0.009616212849452653,0.008379973323663262,0.010827235562581316,0.008538578955573254,0.009378089024237857,0.012059002403431949,0.011549516556723628,0.008690104442412987,0.011390718779339545,0.010156534616572526,0.008895374280025676,0.01183926302554328,0.006868192886025803,0.009044198976052242,0.010721330717234655,0.008437711097819631,0.009879539154814017,0.01077798835684277,0.009669155502350995,0.010510210557511635,0.008715070657104064,0.009701247248128432,0.009355250787450088,0.009845810028329753,0.009987720908148336,0.007752804324886548,0.008562510556527889,0.011758783023352369,0.011609249249339764,0.009644084881111141,0.011154133483693663,0.011199551756234194,0.012858785320952705
9500,4.12300113164523e-05,0.0003200212683995842,0.0005404074672416173,0.0008737927576005198,0.0011306239407692308,0.001312375410930386,0.0020319042487798086,0.002436595469173076,0.0030237789955816115,0.0037025566512123255,0.004986260324089166,0.005015649946475858,0.0059847036285665565,0.008225115653568373,0.0075970783704760675,0.008749939294525881,0.011337779631460076,0.010667378169798531,0.010191694223859559,0.009330886772424312,0.011706836379494842,0.010680543468006292,0.00971488407925611,0.008545978519007574,0.009417917715129611,0.010382028752918321,0.00955767901657001,0.007081595564258394,0.009687420459733781,0.0071449495184160395,0.0100276930465152,0.008208629483712725,0.011562073524135836,0.009194282401513263,0.010624563972679064,0.009045710343811355,0.008651033157588318,0.010181946937238657,0.00661924892467225,0.008007935616119632,0.008925486663909422,0.011220870639924243,0.010620052475447391,0.008983726662504807,0.010446785063219851,0.009583627769945872,0.010160861039285825,0.010031693535514377,0.009037739871960873
